Date,Nature,Categorie,Quantite,Compte,TicketID,Commentaire
31,frais camionette,Matériel,-311.86,coffre,83,29/8 payé Ukal
31,frais alimentaires,Autres,-67.75,coffre,84,29/8 payé Ukal
