Date,Nature,Categorie,Quantite,Compte,TicketID,Commentaire
10,Paiement OVH VPS,Materiel,-14,Caisse,49,Remboursement du vps de quarkup
19,Feuilles Blanches,Materiel,-6.29,Caisse,50,
