Date,Nature,Categorie,Quantite,Compte,TicketID,Commentaire
3,Ticket Brico,Materiel,-22.18,Caisse,62,Alcool isopropolique + Toile
3,Ticket Brico,Materiel,-33.17,Caisse,63,Pince Manchon Tape
4,Courses Colruyt,Bar,-59.03,Caisse,64,Soft chips gaufres
