Date,Nature,Categorie,Quantite,Compte,TicketID,Commentaire
3,Club Mate,Bar,-192.98,Banque,60,
6,Courses Colruyt,Bar,-59.98,Caisse,59,
6,Ukal ardoise,Ardoise,59.98,Caisse,-1,
