Date, Qui, Quoi, Delta, Total Caisse, Total Coffre, Total Coffre plus Caisse (Cash), Total Banque, Total Urlab, Commentaire du Tr?sorier
4,QuarkUp/frog,init,0,145.65,820,965.65,268.85,1234.5,
4,QuarkUp/frog,transfert,0,215.65,750,965.65,268.85,1234.5,
4,QuarkUp/frog,courses,-85.52,130.13,750,880.13,268.85,1148.98,Ticket 31
4,QuarkUp/frog,donation,20.52,150.65,750,900.65,268.85,1169.5,ardoise omelette
4,QuarkUp/frog,Donation,20,170.65,750,920.65,268.85,1189.5,ardoise astra
4,QuarkUp/frog,Third-hand,-21.95,148.7,750,898.7,268.85,1167.55,cotubex ticket 32
4,QuarkUp/frog,donation,21.95,170.65,750,920.65,268.85,1189.5,
15,QuarkUp/frog,clubmate,-200.28,170.65,750,920.65,68.57,989.22,Ticket 33
