Date, Qui, Quoi, Delta, Total Caisse, Total Coffre, Total Coffre plus Caisse (Cash), Total Banque, Total Urlab, Commentaire du Tr?sorier
12,QuarkUp/frog,init,0,170.65,750,920.65,68.57,989.22,
12,QuarkUp/frog,donations,23.46,194.11,750,944.11,68.57,1012.68,

